Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Views,Likes,Comments,Stream,EnergyLiveness,Album_type_compilation,Album_type_single,Licensed_False,Licensed_True,official_video_False,official_video_True,most_playedon_Youtube,Artist,Track,Album,Channel,Cluster
0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4.291333333333333,Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO],80290.0,2133.0,238.0,291096318.0,4.274553571428571,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1524.0,6299.0,9850.0,2597.0,3
0.293,0.276,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,4.453116666666666,Exit Music (For A Film),10644157.0,171322.0,1669.0,146857863.0,1.6526946107784433,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,4803.0,7179.0,4240.0,3
0.531,0.61,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,5.303116666666667,Radiohead - Weird Fishes -  by Tobias Stretch,15335499.0,125774.0,4852.0,121688699.0,6.71806167400881,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1524.0,16540.0,4895.0,4239.0,2
0.462,0.832,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,4.148216666666666,Radiohead - Jigsaw Falling Into Place,26398730.0,180969.0,8010.0,79367881.0,11.228070175438596,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,7490.0,4895.0,4239.0,3
0.463,0.229,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,4.845116666666667,Radiohead - Fake Plastic Trees,61340263.0,398951.0,15400.0,219867047.0,1.1336633663366336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,4894.0,9850.0,4239.0,3
0.291,0.767,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,3.9133333333333336,Radiohead - Just,15041854.0,146328.0,6899.0,88945336.0,10.052424639580602,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,7566.0,9850.0,4239.0,0
0.516,0.342,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,4.25645,Radiohead - Nude,12205514.0,124486.0,4536.0,86388469.0,3.990665110851809,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,10675.0,4895.0,4239.0,0
0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,3.473333333333333,AC/DC - Highway to Hell (Official Video),274830901.0,2039258.0,44487.0,1143164505.0,5.852564102564103,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,6307.0,4499.0,5756.0,3
0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,4.881333333333333,AC/DC - Thunderstruck (Official Video),1224226060.0,5989128.0,153047.0,1088388556.0,4.101382488479263,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,15312.0,10209.0,5756.0,2
0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,4.258216666666667,AC/DC - Back In Black (Official Video),915158054.0,5643694.0,134549.0,1182379398.0,8.454106280193237,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1482.0,1130.0,5756.0,1
0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,3.502883333333333,AC/DC - You Shook Me All Night Long (Official Video),279117834.0,1348845.0,26645.0,802076123.0,1.9666666666666663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,17276.0,1130.0,5756.0,2
0.754,0.759,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,3.577783333333333,"AC/DC - T.N.T. (Live At River Plate, December 2009)",240908491.0,934797.0,19584.0,526521070.0,7.514851485148514,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,14295.0,4494.0,5756.0,0
0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,5.204883333333333,AC/DC - Hells Bells (Official Video),252038354.0,1067479.0,29353.0,296521772.0,3.197802197802197,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,6195.0,1130.0,5756.0,3
0.668,0.906,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,3.86555,AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio),852728.0,14044.0,1029.0,269837425.0,6.711111111111111,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,3863.0,2789.0,5756.0,1
0.457,0.904,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,5.29045,AC/DC - Shoot To Thrill (Iron Man 2 Version),172293392.0,642344.0,17673.0,292026041.0,2.282828282828283,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,13237.0,1130.0,5756.0,0
